weight_ENF,weight_DRN,weight_SEQ,scenario_id,total_score_varied,classification_varied
1.2,1.5,1.4,115,9.899999999999999,ROJO
1.2,1.6,1,116,9,ROJO
1.2,1.6,1.1,117,9.3,ROJO
1.2,1.6,1.2,118,9.6,ROJO
1.2,1.6,1.3,119,9.9,ROJO
1.2,1.6,1.4,120,10.2,ROJO
1.2,1.7,1,121,9.299999999999999,ROJO
1.2,1.7,1.1,122,9.6,ROJO
1.2,1.7,1.2,123,9.899999999999999,ROJO
1.2,1.7,1.3,124,10.2,ROJO
1.2,1.7,1.4,125,10.499999999999998,ROJO
