indicator_code,indicator_name,categoria,indicador,valor_2024,valor_2025,pct_change,raw_score,weight,weighted_score
DRN,Ataques con drones,Conflicto,Ataques_Drones_EMC,119,514,331.9327731092437,3,1.5,4.5
SEQ,Secuestros,Seguridad_Ciudadana,Secuestro,279,651,133.33333333333331,3,1.2,3.5999999999999996
ENF,Enfrentamientos entre grupos,Conflicto,Enfrentamientos_entre_Grupos,86,115,33.72093023255814,1,1,1
DES,Desplazamiento forzado,Impacto_Humanitario,Desplazados_Catatumbo,0,92000,NA,0,1,0
HLS,Homicidios líderes sociales,Impacto_Humanitario,Homicidios_Lideres_Sociales,168,142,-15.476190476190476,0,0.8,0
ATC,Ataques a misiones médicas,Impacto_Humanitario,Ataques_Misiones_Medicas_Variacion,0,0,NA,0,0.9,0
