cluster,n_indicators,avg_governance,share_social,share_tech,share_dispute,share_shock,share_growth,share_stock
1,2,0.46032620358862253,0.5,0.5,0,0.9978991596638656,0.4740608228980322,2.2858212576450622e-4
2,7,0.3674176643065643,1,0,0,0.016581632653061226,0,0.013038418054046864
4,2,0.24183949599079357,0,0,1,0.12645348837209303,0.0518783542039356,3.1528569070966375e-5
3,15,NA,0,0.06666666666666667,0,0,NA,0.003806582081427456
5,2,NA,0.5,0,0,0,NA,0.458436724871361
